icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,20654,5029,768,140
,All,-2,24985,7673,1238,542
,All,-1,23096,6350,1537,245
,All,0,4984,311,466,42
PANC,Anchorage International,-3,80,80,9,9
PANC,Anchorage International,-2,76,76,10,10
PANC,Anchorage International,-1,76,76,12,12
PANC,Anchorage International,0,8,8,10,10
KATL,Hartsfield-Jackson Atlanta International,-3,314,314,15,15
KATL,Hartsfield-Jackson Atlanta International,-2,431,431,15,15
KATL,Hartsfield-Jackson Atlanta International,-1,439,439,14,14
KATL,Hartsfield-Jackson Atlanta International,0,31,31,2,2
KBOS,Boston Logan International,-3,174,174,12,12
KBOS,Boston Logan International,-2,453,453,30,30
KBOS,Boston Logan International,-1,504,504,26,26
KBOS,Boston Logan International,0,9,9,1,1
KBWI,Baltimore-Washington International Marshall,-3,116,116,0,0
KBWI,Baltimore-Washington International Marshall,-2,132,132,0,0
KBWI,Baltimore-Washington International Marshall,-1,94,94,0,0
KBWI,Baltimore-Washington International Marshall,0,4,4,0,0
KCLT,Charlotte Douglas International,-3,216,216,2,2
KCLT,Charlotte Douglas International,-2,331,331,15,15
KCLT,Charlotte Douglas International,-1,258,258,3,3
KCLT,Charlotte Douglas International,0,1,1,0,0
KCVG,Cincinnati/Northern Kentucky International,-3,44,44,2,2
KCVG,Cincinnati/Northern Kentucky International,-2,85,85,10,10
KCVG,Cincinnati/Northern Kentucky International,-1,56,56,1,1
KCVG,Cincinnati/Northern Kentucky International,0,0,0,1,1
KDAL,Dallas Love Field,-3,41,41,0,0
KDAL,Dallas Love Field,-2,53,53,0,0
KDAL,Dallas Love Field,-1,62,62,0,0
KDAL,Dallas Love Field,0,4,4,0,0
KDCA,Reagan National,-3,175,175,1,1
KDCA,Reagan National,-2,310,310,12,12
KDCA,Reagan National,-1,278,278,2,2
KDCA,Reagan National,0,1,1,0,0
KDEN,Denver International,-3,195,195,5,5
KDEN,Denver International,-2,307,307,23,23
KDEN,Denver International,-1,330,330,5,5
KDEN,Denver International,0,4,4,0,0
KDFW,Dallas-Fort Worth International,-3,316,316,6,6
KDFW,Dallas-Fort Worth International,-2,432,432,6,6
KDFW,Dallas-Fort Worth International,-1,365,365,4,4
KDFW,Dallas-Fort Worth International,0,7,7,0,0
KDTW,Detroit Metropolitan Wayne County,-3,207,207,5,5
KDTW,Detroit Metropolitan Wayne County,-2,300,300,22,22
KDTW,Detroit Metropolitan Wayne County,-1,376,376,15,15
KDTW,Detroit Metropolitan Wayne County,0,8,8,0,0
KEWR,Newark Liberty International,-3,293,293,1,1
KEWR,Newark Liberty International,-2,627,627,20,20
KEWR,Newark Liberty International,-1,214,214,11,11
KEWR,Newark Liberty International,0,8,8,0,0
KFLL,Fort Lauderdale-Hollywood International,-3,235,235,0,0
KFLL,Fort Lauderdale-Hollywood International,-2,443,443,9,9
KFLL,Fort Lauderdale-Hollywood International,-1,244,244,8,8
KFLL,Fort Lauderdale-Hollywood International,0,5,5,3,3
PHNL,Honolulu International,-3,62,62,3,3
PHNL,Honolulu International,-2,42,42,4,4
PHNL,Honolulu International,-1,58,58,4,4
PHNL,Honolulu International,0,14,14,0,0
KHOU,Houston Hobby,-3,33,33,0,0
KHOU,Houston Hobby,-2,20,20,0,0
KHOU,Houston Hobby,-1,49,49,0,0
KHOU,Houston Hobby,0,1,1,0,0
KIAD,Washington Dulles International,-3,122,122,3,3
KIAD,Washington Dulles International,-2,151,151,7,7
KIAD,Washington Dulles International,-1,134,134,5,5
KIAD,Washington Dulles International,0,4,4,1,1
KIAH,George Bush Houston Intercontinental,-3,170,170,1,1
KIAH,George Bush Houston Intercontinental,-2,157,157,4,4
KIAH,George Bush Houston Intercontinental,-1,141,141,3,3
KIAH,George Bush Houston Intercontinental,0,4,4,0,0
KIND,Indianapolis International,-3,47,47,2,2
KIND,Indianapolis International,-2,74,74,8,8
KIND,Indianapolis International,-1,73,73,2,2
KIND,Indianapolis International,0,1,1,0,0
KJFK,John F. Kennedy International,-3,357,357,3,3
KJFK,John F. Kennedy International,-2,527,527,146,146
KJFK,John F. Kennedy International,-1,363,363,7,7
KJFK,John F. Kennedy International,0,15,15,3,3
KLAS,Las Vegas Reid International,-3,107,107,0,0
KLAS,Las Vegas Reid International,-2,154,154,2,2
KLAS,Las Vegas Reid International,-1,158,158,4,4
KLAS,Las Vegas Reid International,0,4,4,1,1
KLAX,Los Angeles International,-3,200,200,4,4
KLAX,Los Angeles International,-2,267,267,11,11
KLAX,Los Angeles International,-1,226,226,10,10
KLAX,Los Angeles International,0,30,30,0,0
KLGA,LaGuardia Airport,-3,206,206,3,3
KLGA,LaGuardia Airport,-2,440,440,168,168
KLGA,LaGuardia Airport,-1,381,381,15,15
KLGA,LaGuardia Airport,0,1,1,0,0
KMCO,Orlando International,-3,287,287,1,1
KMCO,Orlando International,-2,560,560,12,12
KMCO,Orlando International,-1,284,284,7,7
KMCO,Orlando International,0,5,5,2,2
KMDW,Chicago Midway,-3,60,60,0,0
KMDW,Chicago Midway,-2,95,95,0,0
KMDW,Chicago Midway,-1,94,94,1,1
KMDW,Chicago Midway,0,3,3,0,0
KMEM,Memphis International,-3,15,15,2,2
KMEM,Memphis International,-2,33,33,2,2
KMEM,Memphis International,-1,43,43,0,0
KMEM,Memphis International,0,0,0,0,0
KMIA,Miami International,-3,238,238,7,7
KMIA,Miami International,-2,442,442,14,14
KMIA,Miami International,-1,298,298,6,6
KMIA,Miami International,0,17,17,1,1
KMSP,Minneapolis/St. Paul International,-3,197,197,4,4
KMSP,Minneapolis/St. Paul International,-2,348,348,14,14
KMSP,Minneapolis/St. Paul International,-1,304,304,6,6
KMSP,Minneapolis/St. Paul International,0,5,5,0,0
KOAK,Oakland International,-3,11,11,0,0
KOAK,Oakland International,-2,12,12,0,0
KOAK,Oakland International,-1,25,25,0,0
KOAK,Oakland International,0,2,2,0,0
KONT,Ontario International,-3,9,9,0,0
KONT,Ontario International,-2,10,10,0,0
KONT,Ontario International,-1,17,17,0,0
KONT,Ontario International,0,0,0,0,0
KORD,Chicago O'Hare International,-3,548,548,5,5
KORD,Chicago O'Hare International,-2,908,908,19,19
KORD,Chicago O'Hare International,-1,793,793,22,22
KORD,Chicago O'Hare International,0,17,17,2,2
KPDX,Portland International,-3,34,34,4,4
KPDX,Portland International,-2,44,44,2,2
KPDX,Portland International,-1,52,52,2,2
KPDX,Portland International,0,0,0,0,0
KPHL,Philadelphia International,-3,187,187,4,4
KPHL,Philadelphia International,-2,427,427,7,7
KPHL,Philadelphia International,-1,189,189,2,2
KPHL,Philadelphia International,0,1,1,0,0
KPHX,Phoenix Sky Harbor International,-3,149,149,4,4
KPHX,Phoenix Sky Harbor International,-2,200,200,7,7
KPHX,Phoenix Sky Harbor International,-1,160,160,6,6
KPHX,Phoenix Sky Harbor International,0,4,4,1,1
KSAN,San Diego International,-3,65,65,2,2
KSAN,San Diego International,-2,69,69,3,3
KSAN,San Diego International,-1,114,114,5,5
KSAN,San Diego International,0,8,8,1,1
KSDF,Louisville International,-3,14,14,1,1
KSDF,Louisville International,-2,30,30,1,1
KSDF,Louisville International,-1,30,30,0,0
KSDF,Louisville International,0,0,0,0,0
KSEA,Seattle-Tacoma International,-3,119,119,12,12
KSEA,Seattle-Tacoma International,-2,179,179,21,21
KSEA,Seattle-Tacoma International,-1,185,185,27,27
KSEA,Seattle-Tacoma International,0,5,5,6,6
KSFO,San Francisco International,-3,136,136,12,12
KSFO,San Francisco International,-2,152,152,9,9
KSFO,San Francisco International,-1,149,149,14,14
KSFO,San Francisco International,0,13,13,1,1
KSLC,Salt Lake City International,-3,55,55,5,5
KSLC,Salt Lake City International,-2,125,125,4,4
KSLC,Salt Lake City International,-1,101,101,2,2
KSLC,Salt Lake City International,0,0,0,2,2
KTEB,Teterboro,-3,0,0,0,0
KTEB,Teterboro,-2,0,0,0,0
KTEB,Teterboro,-1,0,0,0,0
KTEB,Teterboro,0,0,0,0,0
KTPA,Tampa International,-3,96,96,0,0
KTPA,Tampa International,-2,179,179,0,0
KTPA,Tampa International,-1,126,126,0,0
KTPA,Tampa International,0,3,3,0,0
