icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,19974,4346,721,171
,All,-2,24167,7377,665,202
,All,-1,24803,7013,1526,1025
,All,0,12241,2479,1160,897
PANC,Anchorage International,-3,85,85,2,2
PANC,Anchorage International,-2,126,126,4,4
PANC,Anchorage International,-1,97,97,7,7
PANC,Anchorage International,0,19,19,3,3
KATL,Hartsfield-Jackson Atlanta International,-3,206,206,2,2
KATL,Hartsfield-Jackson Atlanta International,-2,366,366,12,12
KATL,Hartsfield-Jackson Atlanta International,-1,523,523,87,87
KATL,Hartsfield-Jackson Atlanta International,0,140,140,84,84
KBOS,Boston Logan International,-3,153,153,4,4
KBOS,Boston Logan International,-2,535,535,48,48
KBOS,Boston Logan International,-1,242,242,43,43
KBOS,Boston Logan International,0,78,78,24,24
KBWI,Baltimore-Washington International Marshall,-3,40,40,1,1
KBWI,Baltimore-Washington International Marshall,-2,146,146,3,3
KBWI,Baltimore-Washington International Marshall,-1,134,134,22,22
KBWI,Baltimore-Washington International Marshall,0,62,62,22,22
KCLT,Charlotte Douglas International,-3,119,119,5,5
KCVG,Cincinnati/Northern Kentucky International,-2,72,72,2,2
KCVG,Cincinnati/Northern Kentucky International,-1,69,69,18,18
KCVG,Cincinnati/Northern Kentucky International,0,21,21,9,9
KDAL,Dallas Love Field,-3,44,44,1,1
KDAL,Dallas Love Field,-2,144,144,5,5
KDAL,Dallas Love Field,-1,129,129,18,18
KDAL,Dallas Love Field,0,27,27,13,13
KDCA,Reagan National,-3,240,240,8,8
KDCA,Reagan National,-2,562,562,39,39
KDCA,Reagan National,-1,387,387,159,159
KDCA,Reagan National,0,103,103,32,32
KDEN,Denver International,-3,224,224,5,5
KDEN,Denver International,-2,376,376,4,4
KDEN,Denver International,-1,354,354,75,75
KDEN,Denver International,0,76,76,61,61
KDFW,Dallas-Fort Worth International,-3,219,219,2,2
KDFW,Dallas-Fort Worth International,-2,435,435,3,3
KDFW,Dallas-Fort Worth International,-1,304,304,62,62
KDFW,Dallas-Fort Worth International,0,136,136,56,56
KDTW,Detroit Metropolitan Wayne County,-3,125,125,4,4
KDTW,Detroit Metropolitan Wayne County,-2,184,184,6,6
KDTW,Detroit Metropolitan Wayne County,-1,130,130,36,36
KDTW,Detroit Metropolitan Wayne County,0,59,59,34,34
KEWR,Newark Liberty International,-3,421,421,13,13
KEWR,Newark Liberty International,-2,675,675,64,64
KEWR,Newark Liberty International,-1,475,475,50,50
KEWR,Newark Liberty International,0,242,242,44,44
KFLL,Fort Lauderdale-Hollywood International,-3,84,84,0,0
KFLL,Fort Lauderdale-Hollywood International,-2,188,188,0,0
KFLL,Fort Lauderdale-Hollywood International,-1,198,198,20,20
KFLL,Fort Lauderdale-Hollywood International,0,124,124,30,30
PHNL,Honolulu International,-3,40,40,1,1
PHNL,Honolulu International,-2,67,67,0,0
