icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,31933,11174,1565,853
,All,-2,32587,10757,1731,960
,All,-1,29976,8373,922,420
,All,0,7216,514,267,72
PANC,Anchorage International,-3,93,93,18,18
PANC,Anchorage International,-2,109,109,15,15
PANC,Anchorage International,-1,66,66,17,17
PANC,Anchorage International,0,18,18,12,12
KATL,Hartsfield-Jackson Atlanta International,-3,715,715,173,173
KATL,Hartsfield-Jackson Atlanta International,-2,650,650,106,106
KATL,Hartsfield-Jackson Atlanta International,-1,597,597,30,30
KATL,Hartsfield-Jackson Atlanta International,0,15,15,3,3
KBOS,Boston Logan International,-3,360,360,44,44
KBOS,Boston Logan International,-2,422,422,60,60
KBOS,Boston Logan International,-1,286,286,75,75
KBOS,Boston Logan International,0,21,21,3,3
KBWI,Baltimore-Washington International Marshall,-3,243,243,11,11
KBWI,Baltimore-Washington International Marshall,-2,252,252,19,19
KBWI,Baltimore-Washington International Marshall,-1,236,236,1,1
KBWI,Baltimore-Washington International Marshall,0,4,4,0,0
KCLT,Charlotte Douglas International,-3,549,549,14,14
KCLT,Charlotte Douglas International,-2,509,509,26,26
KCLT,Charlotte Douglas International,-1,294,294,2,2
KCLT,Charlotte Douglas International,0,3,3,2,2
KCVG,Cincinnati/Northern Kentucky International,-3,97,97,10,10
KCVG,Cincinnati/Northern Kentucky International,-2,147,147,14,14
KCVG,Cincinnati/Northern Kentucky International,-1,82,82,6,6
KCVG,Cincinnati/Northern Kentucky International,0,5,5,0,0
KDAL,Dallas Love Field,-3,156,156,2,2
KDAL,Dallas Love Field,-2,152,152,3,3
KDAL,Dallas Love Field,-1,101,101,1,1
KDAL,Dallas Love Field,0,1,1,0,0
KDCA,Reagan National,-3,238,238,22,22
KDCA,Reagan National,-2,291,291,34,34
KDCA,Reagan National,-1,209,209,7,7
KDCA,Reagan National,0,2,2,2,2
KDEN,Denver International,-3,895,895,16,16
KDEN,Denver International,-2,578,578,15,15
KDEN,Denver International,-1,376,376,1,1
KDEN,Denver International,0,18,18,0,0
KDFW,Dallas-Fort Worth International,-3,766,766,33,33
KDFW,Dallas-Fort Worth International,-2,693,693,22,22
