icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,0,11046,691,292,13
PANC,Anchorage International,-3,45,45,4,4
PANC,Anchorage International,-2,74,74,1,1
PANC,Anchorage International,-1,94,94,2,2
PANC,Anchorage International,0,23,23,0,0
KATL,Hartsfield-Jackson Atlanta International,-3,150,150,5,5
KATL,Hartsfield-Jackson Atlanta International,-2,286,286,9,9
KATL,Hartsfield-Jackson Atlanta International,-1,255,255,4,4
KATL,Hartsfield-Jackson Atlanta International,0,38,38,0,0
KBOS,Boston Logan International,-3,87,87,12,12
KBOS,Boston Logan International,-2,163,163,9,9
KBOS,Boston Logan International,-1,142,142,5,5
KBOS,Boston Logan International,0,37,37,2,2
KBWI,Baltimore-Washington International Marshall,-3,33,33,8,8
KBWI,Baltimore-Washington International Marshall,-2,71,71,0,0
KBWI,Baltimore-Washington International Marshall,-1,36,36,0,0
KBWI,Baltimore-Washington International Marshall,0,16,16,0,0
KCLT,Charlotte Douglas International,-3,111,111,13,13
KCLT,Charlotte Douglas International,-2,221,221,4,4
KCLT,Charlotte Douglas International,-1,122,122,2,2
KCLT,Charlotte Douglas International,0,10,10,0,0
KCVG,Cincinnati/Northern Kentucky International,-3,12,12,2,2
KCVG,Cincinnati/Northern Kentucky International,-2,37,37,4,4
KCVG,Cincinnati/Northern Kentucky International,-1,32,32,2,2
KCVG,Cincinnati/Northern Kentucky International,0,8,8,0,0
KDAL,Dallas Love Field,-3,16,16,7,7
KDAL,Dallas Love Field,-2,57,57,2,2
KDAL,Dallas Love Field,-1,49,49,0,0
KDAL,Dallas Love Field,0,8,8,0,0
KDCA,Reagan National,-3,34,34,11,11
KDCA,Reagan National,-2,308,308,4,4
KDCA,Reagan National,-1,177,177,2,2
KDCA,Reagan National,0,30,30,0,0
KDEN,Denver International,-3,102,102,28,28
KDEN,Denver International,-2,213,213,12,12
KDEN,Denver International,-1,222,222,4,4
KDEN,Denver International,0,18,18,0,0
KDFW,Dallas-Fort Worth International,-3,153,153,18,18
KDFW,Dallas-Fort Worth International,-2,277,277,3,3
KDFW,Dallas-Fort Worth International,-1,256,256,3,3
KDFW,Dallas-Fort Worth International,0,48,48,0,0
KDTW,Detroit Metropolitan Wayne County,-3,69,69,5,5
KDTW,Detroit Metropolitan Wayne County,-2,118,118,5,5
KDTW,Detroit Metropolitan Wayne County,-1,118,118,2,2
KDTW,Detroit Metropolitan Wayne County,0,39,39,2,2
KEWR,Newark Liberty International,-3,121,121,31,31
KEWR,Newark Liberty International,-2,174,174,20,20
KEWR,Newark Liberty International,-1,187,187,6,6
KEWR,Newark Liberty International,0,32,32,1,1
KFLL,Fort Lauderdale-Hollywood International,-3,74,74,6,6
KFLL,Fort Lauderdale-Hollywood International,-2,139,139,8,8
KFLL,Fort Lauderdale-Hollywood International,-1,110,110,1,1
KFLL,Fort Lauderdale-Hollywood International,0,12,12,0,0
PHNL,Honolulu International,-3,54,54,13,13
PHNL,Honolulu International,-2,75,75,2,2
PHNL,Honolulu International,-1,62,62,5,5
PHNL,Honolulu International,0,14,14,0,0
KHOU,Houston Hobby,-3,28,28,9,9
KHOU,Houston Hobby,-2,43,43,0,0
KHOU,Houston Hobby,-1,25,25,0,0
KHOU,Houston Hobby,0,3,3,0,0
KIAD,Washington Dulles International,-3,74,74,13,13
KIAD,Washington Dulles International,-2,270,270,13,13
KIAD,Washington Dulles International,-1,111,111,4,4
KIAD,Washington Dulles International,0,16,16,1,1
KIAH,George Bush Houston Intercontinental,-3,89,89,11,11
