icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,24136,5291,1102,171
,All,-2,32849,8310,1346,248
,All,-1,37728,11657,1669,865
,All,0,27824,7236,827,302
PANC,Anchorage International,-3,116,116,3,3
PANC,Anchorage International,-2,101,101,6,6
PANC,Anchorage International,-1,111,111,10,10
PANC,Anchorage International,0,70,70,4,4
KATL,Hartsfield-Jackson Atlanta International,-3,283,283,14,14
KATL,Hartsfield-Jackson Atlanta International,-2,434,434,13,13
KATL,Hartsfield-Jackson Atlanta International,-1,604,604,43,43
KATL,Hartsfield-Jackson Atlanta International,0,536,536,42,42
KBOS,Boston Logan International,-3,167,167,4,4
KBOS,Boston Logan International,-2,279,279,5,5
KBOS,Boston Logan International,-1,487,487,122,122
KBOS,Boston Logan International,0,229,229,8,8
KBWI,Baltimore-Washington International Marshall,-3,81,81,0,0
KBWI,Baltimore-Washington International Marshall,-2,142,142,2,2
KBWI,Baltimore-Washington International Marshall,-1,261,261,5,5
KBWI,Baltimore-Washington International Marshall,0,129,129,8,8
KCLT,Charlotte Douglas International,-3,127,127,1,1
KCLT,Charlotte Douglas International,-2,421,421,2,2
KCLT,Charlotte Douglas International,-1,454,454,22,22
KCLT,Charlotte Douglas International,0,250,250,14,14
KCVG,Cincinnati/Northern Kentucky International,-3,27,27,1,1
KCVG,Cincinnati/Northern Kentucky International,-2,99,99,0,0
KCVG,Cincinnati/Northern Kentucky International,-1,123,123,3,3
KCVG,Cincinnati/Northern Kentucky International,0,49,49,2,2
KDAL,Dallas Love Field,-3,59,59,0,0
KDAL,Dallas Love Field,-2,86,86,0,0
KDAL,Dallas Love Field,-1,178,178,7,7
KDAL,Dallas Love Field,0,111,111,4,4
KDCA,Reagan National,-3,199,199,1,1
KDCA,Reagan National,-2,221,221,1,1
KDCA,Reagan National,-1,323,323,29,29
KDCA,Reagan National,0,171,171,18,18
KDEN,Denver International,-3,501,501,19,19
KDEN,Denver International,-2,454,454,17,17
KDEN,Denver International,-1,1359,1359,104,104
KDEN,Denver International,0,556,556,13,13
KDFW,Dallas-Fort Worth International,-3,433,433,4,4
KDFW,Dallas-Fort Worth International,-2,643,643,13,13
KDFW,Dallas-Fort Worth International,-1,688,688,26,26
KDFW,Dallas-Fort Worth International,0,507,507,21,21
KDTW,Detroit Metropolitan Wayne County,-3,67,67,1,1
KDTW,Detroit Metropolitan Wayne County,-2,189,189,7,7
KDTW,Detroit Metropolitan Wayne County,-1,437,437,24,24
KDTW,Detroit Metropolitan Wayne County,0,190,190,4,4
KEWR,Newark Liberty International,-3,271,271,4,4
KEWR,Newark Liberty International,-2,367,367,5,5
KEWR,Newark Liberty International,-1,513,513,35,35
KEWR,Newark Liberty International,0,247,247,20,20
KFLL,Fort Lauderdale-Hollywood International,-3,129,129,0,0
KFLL,Fort Lauderdale-Hollywood International,-2,293,293,1,1
KFLL,Fort Lauderdale-Hollywood International,-1,410,410,20,20
KFLL,Fort Lauderdale-Hollywood International,0,285,285,11,11
PHNL,Honolulu International,-3,198,198,3,3
PHNL,Honolulu International,-2,255,255,2,2
