icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,26945,11229,3498,2954
,All,-2,25361,9646,2909,2422
,All,-1,17670,4079,1890,1264
,All,0,8854,524,1238,884
PANC,Anchorage International,-3,57,57,7,7
PANC,Anchorage International,-2,62,62,7,7
PANC,Anchorage International,-1,49,49,12,12
PANC,Anchorage International,0,15,15,6,6
KATL,Hartsfield-Jackson Atlanta International,-3,907,907,456,456
KATL,Hartsfield-Jackson Atlanta International,-2,725,725,237,237
KATL,Hartsfield-Jackson Atlanta International,-1,254,254,121,121
KATL,Hartsfield-Jackson Atlanta International,0,23,23,77,77
KBOS,Boston Logan International,-3,441,441,107,107
KBOS,Boston Logan International,-2,534,534,163,163
KBOS,Boston Logan International,-1,346,346,87,87
KBOS,Boston Logan International,0,18,18,43,43
KBWI,Baltimore-Washington International Marshall,-3,280,280,36,36
KBWI,Baltimore-Washington International Marshall,-2,190,190,38,38
KBWI,Baltimore-Washington International Marshall,-1,47,47,27,27
KBWI,Baltimore-Washington International Marshall,0,4,4,24,24
KCLT,Charlotte Douglas International,-3,465,465,119,119
KCLT,Charlotte Douglas International,-2,338,338,68,68
KCLT,Charlotte Douglas International,-1,112,112,58,58
KCLT,Charlotte Douglas International,0,8,8,36,36
KCVG,Cincinnati/Northern Kentucky International,-3,117,117,42,42
KCVG,Cincinnati/Northern Kentucky International,-2,123,123,28,28
KCVG,Cincinnati/Northern Kentucky International,-1,36,36,20,20
KCVG,Cincinnati/Northern Kentucky International,0,4,4,9,9
KDAL,Dallas Love Field,-3,205,205,20,20
KDAL,Dallas Love Field,-2,127,127,21,21
KDAL,Dallas Love Field,-1,36,36,22,22
KDAL,Dallas Love Field,0,5,5,24,24
KDCA,Reagan National,-3,358,358,143,143
KDCA,Reagan National,-2,364,364,96,96
KDCA,Reagan National,-1,229,229,42,42
KDCA,Reagan National,0,16,16,32,32
KDEN,Denver International,-3,472,472,85,85
KDEN,Denver International,-2,414,414,77,77
KDEN,Denver International,-1,149,149,93,93
KDEN,Denver International,0,13,13,87,87
KDFW,Dallas-Fort Worth International,-3,839,839,169,169
KDFW,Dallas-Fort Worth International,-2,521,521,109,109
KDFW,Dallas-Fort Worth International,-1,250,250,62,62
KDFW,Dallas-Fort Worth International,0,16,16,36,36
KDTW,Detroit Metropolitan Wayne County,-3,562,562,119,119
KDTW,Detroit Metropolitan Wayne County,-2,331,331,111,111
KDTW,Detroit Metropolitan Wayne County,-1,129,129,50,50
KDTW,Detroit Metropolitan Wayne County,0,5,5,32,32
KEWR,Newark Liberty International,-3,513,513,413,413
KEWR,Newark Liberty International,-2,507,507,143,143
KEWR,Newark Liberty International,-1,252,252,63,63
KEWR,Newark Liberty International,0,25,25,40,40
KFLL,Fort Lauderdale-Hollywood International,-3,325,325,76,76
KFLL,Fort Lauderdale-Hollywood International,-2,308,308,41,41
KFLL,Fort Lauderdale-Hollywood International,-1,98,98,22,22
KFLL,Fort Lauderdale-Hollywood International,0,5,5,15,15
PHNL,Honolulu International,-3,69,69,11,11
PHNL,Honolulu International,-2,57,57,16,16
PHNL,Honolulu International,-1,64,64,18,18
PHNL,Honolulu International,0,16,16,18,18
KHOU,Houston Hobby,-3,140,140,17,17
KHOU,Houston Hobby,-2,127,127,23,23
KHOU,Houston Hobby,-1,26,26,20,20
KHOU,Houston Hobby,0,2,2,14,14
KIAD,Washington Dulles International,-3,266,266,59,59
KIAD,Washington Dulles International,-2,207,207,47,47
KIAD,Washington Dulles International,-1,184,184,34,34
KIAD,Washington Dulles International,0,8,8,29,29
KIAH,George Bush Houston Intercontinental,-3,385,385,59,59
KIAH,George Bush Houston Intercontinental,-2,413,413,50,50
KIAH,George Bush Houston Intercontinental,-1,81,81,53,53
KIAH,George Bush Houston Intercontinental,0,14,14,53,53
KIND,Indianapolis International,-3,161,161,41,41
KIND,Indianapolis International,-2,130,130,34,34
KIND,Indianapolis International,-1,44,44,11,11
KIND,Indianapolis International,0,1,1,10,10
KJFK,John F. Kennedy International,-3,605,605,126,126
KJFK,John F. Kennedy International,-2,476,476,107,107
KJFK,John F. Kennedy International,-1,250,250,46,46
KJFK,John F. Kennedy International,0,29,29,34,34
KLAS,Las Vegas Reid International,-3,440,440,79,79
KLAS,Las Vegas Reid International,-2,546,546,67,67
KLAS,Las Vegas Reid International,-1,76,76,47,47
KLAS,Las Vegas Reid International,0,14,14,39,39
KLAX,Los Angeles International,-3,463,463,94,94
KLAX,Los Angeles International,-2,369,369,75,75
KLAX,Los Angeles International,-1,134,134,55,55
KLAX,Los Angeles International,0,27,27,40,40
KLGA,LaGuardia Airport,-3,525,525,325,325
KLGA,LaGuardia Airport,-2,655,655,215,215
KLGA,LaGuardia Airport,-1,667,667,141,141
KLGA,LaGuardia Airport,0,18,18,43,43
KMCO,Orlando International,-3,693,693,101,101
KMCO,Orlando International,-2,489,489,67,67
KMCO,Orlando International,-1,126,126,43,43
KMCO,Orlando International,0,12,12,35,35
KMDW,Chicago Midway,-3,180,180,51,51
KMDW,Chicago Midway,-2,193,193,127,127
KMDW,Chicago Midway,-1,59,59,22,22
KMDW,Chicago Midway,0,6,6,20,20
KMEM,Memphis International,-3,72,72,23,23
KMEM,Memphis International,-2,65,65,22,22
KMEM,Memphis International,-1,29,29,11,11
KMEM,Memphis International,0,0,0,7,7
KMIA,Miami International,-3,484,484,88,88
KMIA,Miami International,-2,377,377,56,56
KMIA,Miami International,-1,173,173,32,32
KMIA,Miami International,0,17,17,20,20
KMSP,Minneapolis/St. Paul International,-3,348,348,99,99
KMSP,Minneapolis/St. Paul International,-2,172,172,74,74
KMSP,Minneapolis/St. Paul International,-1,93,93,46,46
KMSP,Minneapolis/St. Paul International,0,11,11,31,31
KOAK,Oakland International,-3,77,77,15,15
KOAK,Oakland International,-2,62,62,16,16
KOAK,Oakland International,-1,10,10,13,13
KOAK,Oakland International,0,1,1,11,11
KONT,Ontario International,-3,50,50,17,17
KONT,Ontario International,-2,53,53,14,14
KONT,Ontario International,-1,8,8,7,7
KONT,Ontario International,0,1,1,6,6
KORD,Chicago O'Hare International,-3,1493,1493,454,454
KORD,Chicago O'Hare International,-2,1185,1185,646,646
KORD,Chicago O'Hare International,-1,426,426,124,124
KORD,Chicago O'Hare International,0,65,65,88,88
KPDX,Portland International,-3,82,82,27,27
KPDX,Portland International,-2,90,90,19,19
KPDX,Portland International,-1,23,23,23,23
KPDX,Portland International,0,5,5,17,17
KPHL,Philadelphia International,-3,338,338,81,81
KPHL,Philadelphia International,-2,250,250,65,65
KPHL,Philadelphia International,-1,116,116,25,25
KPHL,Philadelphia International,0,5,5,14,14
KPHX,Phoenix Sky Harbor International,-3,531,531,153,153
KPHX,Phoenix Sky Harbor International,-2,646,646,117,117
KPHX,Phoenix Sky Harbor International,-1,101,101,54,54
KPHX,Phoenix Sky Harbor International,0,17,17,42,42
KSAN,San Diego International,-3,326,326,118,118
KSAN,San Diego International,-2,274,274,63,63
