icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,25351,9646,2909,2422
,All,-2,17803,4158,1890,1264
,All,-1,16939,2835,1422,911
,All,0,15687,2279,1315,1015
PANC,Anchorage International,-1,60,60,8,8
PANC,Anchorage International,0,36,36,12,12
KATL,Hartsfield-Jackson Atlanta International,-3,725,725,237,237
KATL,Hartsfield-Jackson Atlanta International,-2,258,258,121,121
KATL,Hartsfield-Jackson Atlanta International,-1,117,117,79,79
KATL,Hartsfield-Jackson Atlanta International,0,111,111,85,85
KBOS,Boston Logan International,-3,534,534,163,163
KBOS,Boston Logan International,-2,344,344,87,87
KBOS,Boston Logan International,-1,98,98,44,44
KBOS,Boston Logan International,0,85,85,42,42
KBWI,Baltimore-Washington International Marshall,-3,190,190,38,38
KBWI,Baltimore-Washington International Marshall,-2,46,46,27,27
KBWI,Baltimore-Washington International Marshall,-1,26,26,24,24
KBWI,Baltimore-Washington International Marshall,0,47,47,31,31
KCLT,Charlotte Douglas International,-3,338,338,68,68
KCLT,Charlotte Douglas International,-2,112,112,58,58
KCLT,Charlotte Douglas International,-1,100,100,36,36
KCLT,Charlotte Douglas International,0,74,74,49,49
KCVG,Cincinnati/Northern Kentucky International,-3,123,123,28,28
KCVG,Cincinnati/Northern Kentucky International,-2,37,37,20,20
KCVG,Cincinnati/Northern Kentucky International,-1,21,21,10,10
KCVG,Cincinnati/Northern Kentucky International,0,30,30,14,14
KDAL,Dallas Love Field,-3,127,127,21,21
KDAL,Dallas Love Field,-2,35,35,22,22
KDAL,Dallas Love Field,-1,24,24,24,24
KDAL,Dallas Love Field,0,44,44,27,27
KDCA,Reagan National,-3,364,364,96,96
KDCA,Reagan National,-2,227,227,42,42
KDCA,Reagan National,-1,97,97,35,35
KDCA,Reagan National,0,155,155,46,46
KDEN,Denver International,-3,414,414,77,77
KDEN,Denver International,-2,149,149,93,93
KDEN,Denver International,-1,90,90,88,88
KDEN,Denver International,0,120,120,77,77
KDFW,Dallas-Fort Worth International,-3,521,521,109,109
KDFW,Dallas-Fort Worth International,-2,256,256,62,62
KDFW,Dallas-Fort Worth International,-1,165,165,36,36
KDFW,Dallas-Fort Worth International,0,136,136,62,62
KDTW,Detroit Metropolitan Wayne County,-3,331,331,111,111
KDTW,Detroit Metropolitan Wayne County,-2,129,129,50,50
KDTW,Detroit Metropolitan Wayne County,-1,83,83,32,32
KDTW,Detroit Metropolitan Wayne County,0,71,71,35,35
KEWR,Newark Liberty International,-3,507,507,143,143
KEWR,Newark Liberty International,-2,246,246,63,63
KEWR,Newark Liberty International,-1,142,142,43,43
KEWR,Newark Liberty International,0,84,84,72,72
KFLL,Fort Lauderdale-Hollywood International,-3,308,308,41,41
KFLL,Fort Lauderdale-Hollywood International,-2,97,97,22,22
KFLL,Fort Lauderdale-Hollywood International,-1,52,52,15,15
KFLL,Fort Lauderdale-Hollywood International,0,73,73,20,20
PHNL,Honolulu International,-3,57,57,16,16
PHNL,Honolulu International,-2,69,69,18,18
PHNL,Honolulu International,-1,87,87,18,18
PHNL,Honolulu International,0,28,28,19,19
KHOU,Houston Hobby,-3,127,127,23,23
KHOU,Houston Hobby,-2,26,26,20,20
KHOU,Houston Hobby,-1,18,18,15,15
KHOU,Houston Hobby,0,25,25,21,21
KIAD,Washington Dulles International,-3,207,207,47,47
KIAD,Washington Dulles International,-2,183,183,34,34
KIAD,Washington Dulles International,-1,63,63,29,29
KIAD,Washington Dulles International,0,38,38,18,18
KIAH,George Bush Houston Intercontinental,-3,413,413,50,50
KIAH,George Bush Houston Intercontinental,-2,88,88,53,53
KIAH,George Bush Houston Intercontinental,-1,116,116,55,55
KIAH,George Bush Houston Intercontinental,0,56,56,33,33
KIND,Indianapolis International,-3,130,130,34,34
KIND,Indianapolis International,-2,44,44,11,11
KIND,Indianapolis International,-1,19,19,12,12
KIND,Indianapolis International,0,17,17,16,16
KJFK,John F. Kennedy International,-3,476,476,107,107
KJFK,John F. Kennedy International,-2,255,255,46,46
KJFK,John F. Kennedy International,-1,133,133,35,35
KJFK,John F. Kennedy International,0,106,106,39,39
KLAS,Las Vegas Reid International,-3,546,546,67,67
KLAS,Las Vegas Reid International,-2,82,82,47,47
KLAS,Las Vegas Reid International,-1,72,72,39,39
KLAS,Las Vegas Reid International,0,69,69,56,56
