icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,18555,3943,550,93
,All,-2,22329,4996,441,86
PANC,Anchorage International,-1,85,85,3,3
PANC,Anchorage International,0,25,25,0,0
KATL,Hartsfield-Jackson Atlanta International,-3,295,295,14,14
KATL,Hartsfield-Jackson Atlanta International,-2,234,234,4,4
KATL,Hartsfield-Jackson Atlanta International,-1,346,346,8,8
KATL,Hartsfield-Jackson Atlanta International,0,453,453,4,4
KBOS,Boston Logan International,-3,106,106,1,1
KBOS,Boston Logan International,-2,119,119,1,1
KBOS,Boston Logan International,-1,133,133,2,2
KBOS,Boston Logan International,0,46,46,1,1
KBWI,Baltimore-Washington International Marshall,-3,58,58,0,0
KBWI,Baltimore-Washington International Marshall,-2,67,67,2,2
KBWI,Baltimore-Washington International Marshall,-1,93,93,3,3
KBWI,Baltimore-Washington International Marshall,0,30,30,1,1
KCLT,Charlotte Douglas International,-3,159,159,1,1
KCLT,Charlotte Douglas International,-2,185,185,2,2
KCLT,Charlotte Douglas International,-1,182,182,3,3
KCLT,Charlotte Douglas International,0,46,46,0,0
KCVG,Cincinnati/Northern Kentucky International,-3,18,18,1,1
KCVG,Cincinnati/Northern Kentucky International,-2,34,34,3,3
KCVG,Cincinnati/Northern Kentucky International,-1,39,39,4,4
KCVG,Cincinnati/Northern Kentucky International,0,17,17,0,0
KDAL,Dallas Love Field,-3,62,62,0,0
KDAL,Dallas Love Field,-2,130,130,0,0
KDAL,Dallas Love Field,-1,210,210,69,69
KDAL,Dallas Love Field,0,24,24,0,0
KDCA,Reagan National,-3,94,94,0,0
KDCA,Reagan National,-2,138,138,0,0
KDCA,Reagan National,-1,189,189,0,0
KDCA,Reagan National,0,58,58,0,0
KDEN,Denver International,-3,191,191,2,2
KDEN,Denver International,-2,262,262,0,0
KDEN,Denver International,-1,280,280,7,7
KDEN,Denver International,0,44,44,0,0
KDFW,Dallas-Fort Worth International,-3,434,434,9,9
KDFW,Dallas-Fort Worth International,-2,713,713,15,15
KDFW,Dallas-Fort Worth International,-1,1206,1206,115,115
KDFW,Dallas-Fort Worth International,0,94,94,5,5
